"subject" "activity" "v1"
"1" 5 "walking" 5
"2" 5 "standing" 5
"3" 5 "standing" 5
"4" 5 "standing" 5
"5" 5 "standing" 5
"6" 5 "standing" 5
"7" 5 "standing" 5
"8" 5 "standing" 5
"9" 5 "standing" 5
"10" 5 "standing" 5
"11" 5 "standing" 5
"12" 5 "standing" 5
"13" 5 "standing" 5
"14" 5 "standing" 5
"15" 5 "standing" 5
"16" 5 "standing" 5
"17" 5 "standing" 5
"18" 5 "standing" 5
"19" 5 "standing" 5
"20" 5 "standing" 5
"21" 5 "standing" 5
"22" 5 "standing" 5
"23" 5 "standing" 5
"24" 5 "standing" 5
"25" 5 "standing" 5
"26" 5 "standing" 5
"27" 5 "standing" 5
"28" 4 "sitting" 4
"29" 4 "sitting" 4
"30" 4 "sitting" 4
"31" 4 "sitting" 4
"32" 4 "sitting" 4
"33" 4 "sitting" 4
"34" 4 "sitting" 4
"35" 4 "sitting" 4
"36" 4 "sitting" 4
