"subject" "activity" "v1"
"1" 5 "standing" 5
"2" 5 "standing" 5
"3" 5 "standing" 5
"4" 5 "standing" 5
"5" 5 "standing" 5
"6" 5 "standing" 5
"7" 5 "standing" 5
"8" 5 "standing" 5
"9" 5 "standing" 5
"10" 5 "standing" 5
"11" 5 "standing" 5
"12" 5 "standing" 5
"13" 5 "standing" 5
"14" 5 "standing" 5
"15" 5 "standing" 5
"16" 5 "standing" 5
"17" 5 "standing" 5
"18" 5 "standing" 5
"19" 5 "standing" 5
"20" 5 "standing" 5
"21" 5 "standing" 5
"22" 5 "standing" 5
"23" 5 "standing" 5
"24" 5 "standing" 5
"25" 5 "standing" 5
"26" 5 "standing" 5
"27" 5 "standing" 5
"28" 4 "sitting" 4
"29" 4 "sitting" 4
"30" 4 "sitting" 4
"31" 4 "sitting" 4
"32" 4 "sitting" 4
"33" 4 "sitting" 4
"34" 4 "sitting" 4
"35" 4 "sitting" 4
"36" 4 "sitting" 4
"37" 4 "sitting" 4
"38" 4 "sitting" 4
"39" 4 "sitting" 4
"40" 4 "sitting" 4
"41" 4 "sitting" 4
"42" 4 "sitting" 4
"43" 4 "sitting" 4
"44" 4 "sitting" 4
"45" 4 "sitting" 4
"46" 4 "sitting" 4
"47" 4 "sitting" 4
"48" 4 "sitting" 4
"49" 4 "sitting" 4
"50" 4 "sitting" 4
"51" 4 "sitting" 4
"52" 6 "laying" 6
"53" 6 "laying" 6
"54" 6 "laying" 6
"55" 6 "laying" 6
"56" 6 "laying" 6
"57" 6 "laying" 6
"58" 6 "laying" 6
"59" 6 "laying" 6
"60" 6 "laying" 6
"61" 6 "laying" 6
"62" 6 "laying" 6
"63" 6 "laying" 6
"64" 6 "laying" 6
"65" 6 "laying" 6
"66" 6 "laying" 6
"67" 6 "laying" 6
"68" 6 "laying" 6
"69" 6 "laying" 6
"70" 6 "laying" 6
"71" 6 "laying" 6
"72" 6 "laying" 6
"73" 6 "laying" 6
"74" 6 "laying" 6
"75" 6 "laying" 6
"76" 6 "laying" 6
"77" 6 "laying" 6
"78" 6 "laying" 6
"79" 1 "walking" 1
"80" 1 "walking" 1
"81" 1 "walking" 1
"82" 1 "walking" 1
"83" 1 "walking" 1
"84" 1 "walking" 1
"85" 1 "walking" 1
"86" 1 "walking" 1
"87" 1 "walking" 1
"88" 1 "walking" 1
"89" 1 "walking" 1
"90" 1 "walking" 1
"91" 1 "walking" 1
"92" 1 "walking" 1
"93" 1 "walking" 1
"94" 1 "walking" 1
"95" 1 "walking" 1
"96" 1 "walking" 1
"97" 1 "walking" 1
"98" 1 "walking" 1
"99" 1 "walking" 1
"100" 1 "walking" 1
"101" 1 "walking" 1
"102" 1 "walking" 1
"103" 1 "walking" 1
"104" 1 "walking" 1
"105" 1 "walking" 1
"106" 1 "walking" 1
"107" 1 "walking" 1
"108" 1 "walking" 1
"109" 1 "walking" 1
"110" 1 "walking" 1
"111" 1 "walking" 1
"112" 1 "walking" 1
"113" 1 "walking" 1
"114" 1 "walking" 1
"115" 1 "walking" 1
"116" 1 "walking" 1
"117" 1 "walking" 1
"118" 1 "walking" 1
"119" 1 "walking" 1
"120" 1 "walking" 1
"121" 1 "walking" 1
"122" 1 "walking" 1
"123" 1 "walking" 1
"124" 1 "walking" 1
"125" 1 "walking" 1
"126" 3 "walkingdownstairs" 3
"127" 3 "walkingdownstairs" 3
"128" 3 "walkingdownstairs" 3
"129" 3 "walkingdownstairs" 3
"130" 3 "walkingdownstairs" 3
"131" 3 "walkingdownstairs" 3
"132" 3 "walkingdownstairs" 3
"133" 3 "walkingdownstairs" 3
"134" 3 "walkingdownstairs" 3
"135" 3 "walkingdownstairs" 3
"136" 3 "walkingdownstairs" 3
